repBC16_Pl1	repBC17_Pl1	repBC18_Pl1	repBC22_Pl1	repBC23_Pl1	repBC24_Pl1	genus
0	9.698126375110016	0	0	0	0	Acetivibrio
0	20.20442994814587	0	0	0	0	Acholeplasma
0	40.40885989629174	26.024397277590865	26.18347608845212	37.185331821885626	35.11921592683241	Acidaminococcus
0	0	8.132624149247144	0	0	10.805912592871511	Adlercreutzia
0	9.698126375110016	0	0	0	0	Agathobacter
0	246.49404536737958	38.49442097310315	51.57351350755721	61.24642888310573	43.76394600112962	Agathobaculum
0	102.638504136581	83.49494126560401	38.87849479800467	91.8696433246586	48.6266066679218	Alistipes
0	16.163543958516694	0	0	17.498979680887352	0	Aminiphilus
278.56970858062994	367.7206250562548	317.7145167639218	301.5066943518729	288.004040581271	298.7834831928973	Anaerobutyricum
0	145.47189562665025	39.57877085966944	50.780074838210176	69.2667945701791	31.877442148970957	Anaeromassilibacillus
1054.047545980762	1010.2214974072934	1021.9997680887245	1102.0863117230301	1009.107828264504	1149.208804251885	Anaerostipes
0	12.930835166813356	0	0	0	0	Anaerotaenia
0	0	0	0	0	9.72532133358436	Anaerotignum
255.98297545247078	367.7206250562548	390.9081341071461	307.06076503730213	447.6822301693681	445.20359882630623	Bacteroides
97.87584355535647	71.9277706153993	81.8684164357546	99.17983366837925	77.28716025725247	83.74582259475422	Bariatricus
0	58.1887582506601	34.15702142683801	26.18347608845212	63.43380134321665	38.90128533433744	Barnesiella
0	29.09437912533005	0	0	0	0	Beduini
361.38773005054696	204.46883107523618	2630.0906498665267	487.9647816484259	710.8960495360486	61.05340614972403	Bifidobacterium
4848.618711511505	5445.497959624275	5577.353641553692	5252.563991077365	4928.150152629901	5211.69164354193	Blautia
0	68.69506182369595	83.49494126560401	107.11422036184959	88.22402255780706	98.87410022477432	Butyricicoccus
0	9.698126375110016	0	0	0	0	Butyrivibrio
0	14.547189562665025	0	0	0	0	Caldicoprobacter
1724.120628782818	2397.8617462459515	1573.3916854076808	1194.125197367286	2469.5435074652273	1145.9670304740237	Catenibacterium
0	62.229644240289275	37.95224602982001	32.530985443228396	59.059056422994814	28.09537274146593	Christensenella
436.67684047774424	606.9410756423019	374.1007108653687	190.42528064328815	495.8044242918083	146.96041126305255	Clostridium
0	16.97172115644253	0	0	8.749489840443676	0	Colidextribacter
112.93366564079592	109.1039217199877	146.92940962973174	204.70717669153478	271.96330920712427	279.33284052572856	Collinsella
346.3299079651075	477.63272397416836	540.0062435100104	582.383983300723	493.6170518316974	570.5521849036157	Coprococcus
97.87584355535647	45.25792308384675	55.844019158163725	50.780074838210176	44.476573355588684	52.948971705070406	Cuneatibacter
255.98297545247078	420.2521429214341	245.06307436398063	275.3232182634208	289.4622888880116	293.9208225261051	Dialister
286.0986196233497	270.73936130515466	333.97976506241605	341.17862781922463	253.7352053728666	320.93560400828386	Dorea
0	0	9.759148979096574	11.108141370858476	19.68635214099827	7.5641388150100575	Duncaniella
0	59.80511264651177	28.193097050723434	25.390037419105088	43.74744920221838	21.071529556099446	Dysosmobacter
0	32.32708791703339	48.79574489548287	65.85540955580382	45.20569750895899	51.86838044578325	Enterocloster
0	67.88688462577012	42.28964557608515	43.63912681408687	59.78818057636512	35.659511556475984	Enterococcus
0	52.53151786517926	23.85569750445829	0	45.20569750895899	16.208868889307265	Erysipelatoclostridium
0	50.91516346932759	31.988321653705437	24.596598749758055	38.64358012862623	22.692416445030172	Escherichia
0	186.68893272086783	152.35115906256317	149.95990850658941	143.63745821395034	140.47686370732964	Eubacterium
2830.870552062618	2917.519684512263	2498.342138648723	2923.82149654382	2968.264428370517	2844.1161944437818	Faecalibacterium
670.0730828020559	358.8306758790706	439.1617040593458	478.4435176162615	427.2667538749995	514.361439420684	Faecalicatena
0	120.41840249094938	136.0859107640689	166.62212056287714	111.55599546565686	141.0171593369732	Faecalimonas
0	114.76116210546853	38.49442097310315	9.521264032164408	36.45620766851532	0	Faecalitalea
0	33.94344231288506	8.132624149247144	11.108141370858476	14.582483067406127	7.0238431853664824	Falcatimonas
0	13.73901236473919	0	0	0	0	Fastidiosipila
0	40.40885989629174	9.759148979096574	0	0	0	Flavonifractor
0	21.012607146071705	9.2169740358134309	15.075334717593647	12.395110607295207	9.72532133358436	Flintibacter
0	16.163543958516694	7.590449205964002	0	13.124234760665514	0	Fournierella
0	0	0	0	13.124234760665514	0	Frisingicoccus
880.8825919982082	747.5639080813971	871.2751338560108	942.6051391842764	810.7860585477806	988.2007066180996	Fusicatenibacter
406.5611963068653	556.0259121729744	436.4508293429301	374.50305193180003	372.5824423722265	361.45777623155203	Gemmiger
0	11.314480770961687	0	0	0	0	Herbinix
0	240.83680498189875	37.95224602982001	11.108141370858476	26.248469521331028	8.104434444653632	Hespellia
293.6275306660694	328.11994235788893	253.19569851322777	170.58931390961232	317.89813086945355	148.0410025223397	Holdemanella
0	112.33663051169103	42.83182051936829	32.530985443228396	34.997959361774704	33.498329037901684	Hungateiclostridium
0	91.32402336561933	47.16922006563344	43.63912681408687	56.142559809513585	37.82069407505029	Hungatella
0	0	0	0	16.769855527517045	0	Hydrogenoanaerobacterium
0	44.44974588592091	7.0482742626808585	0	0	0	Intestinibacillus
0	43.641568687995075	17.349598185060575	13.488457378899579	14.582483067406127	26.474485852535203	Intestinibacter
0	0	7.0482742626808585	0	0	0	Intestinimonas
0	8.081771979258347	19.51829795819315	20.629405403022883	9.478613993813982	16.208868889307265	Laceyella
0	157.59455359553777	41.747470632802006	35.70474012061653	52.496939042662056	17.28946014859442	Lachnoclostridium
0	180.22351513746113	150.72463423271375	145.99271515985424	116.65986453924901	125.8888817069531	Lachnospira
0	275.58842449270963	94.88061507455002	78.55042826535636	71.45416703029002	72.39961437223913	Lacrimispora
0	17.779898354368363	25.48222233430772	22.216282741716952	15.311607220776432	19.45064266716872	Lactobacillus
