comparison,medium,time,agitation,compound,genus,log2FoldChange,stat,padj
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Pediococcus,-1.19342204933256,-0.6567675465136384,0.8325507708174786
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Acidaminococcus,-0.45940570690978766,-0.6081545672214245,0.8502480126205212
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Anaeromassilibacillus,-0.25443576464804846,-0.5691084682881894,0.8502480126205212
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Butyrivibrio,-1.473403571574062,-0.5793178531528789,0.8502480126205212
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Erysipelatoclostridium,-0.8281261708651643,-0.6055907667613881,0.8502480126205212
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Faecalitalea,-1.4289013188296102,-0.6109913575369526,0.8502480126205212
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Flintibacter,0.3300000853842852,0.5605724442753017,0.8502480126205212
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Fournierella,-1.402041036971215,-0.5580488485321115,0.8502480126205212
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Lachnospira,0.1795806521513664,0.5498046586914564,0.8502480126205212
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Neglecta,-0.341236361211139,-0.5760630442062695,0.8502480126205212
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Hungateiclostridium,-0.3616249096815506,-0.5134651599901361,0.8769147603493063
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Bacteroides,-0.3155002457544146,-0.4812203967235893,0.889507810771887
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Robinsoniella,0.3526196866294891,0.4817758509887194,0.889507810771887
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Bariatricus,0.254624493735865,0.45251481850006187,0.8985224439689243
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Prevotellamassilia,0.8400301555294055,0.4559825580563472,0.8985224439689243
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Adlercreutzia,0.5050786152837674,0.39829658272735224,0.8986643084698629
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Christensenella,-0.17809371583607497,-0.39236537779157016,0.8986643084698629
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Duncaniella,0.2903411852916648,0.3781681328315169,0.8986643084698629
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Lactobacillus,0.22942945692414715,0.4172802358539876,0.8986643084698629
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Phocea,-0.9390485587188784,-0.38255896958390073,0.8986643084698629
