comparison,medium,time,agitation,compound,genus,log2FoldChange,stat,padj,sig_padj0.05,sig_padj0.01
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Escherichia,-0.7053528335811402,-1.832919897447488,0.71673719483355125,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Coprococcus,-0.186664158484636,-1.500312750996192,0.8293127445745785,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Eggerthella,5.099830661659595,1.6282243330005808,0.8293127445745785,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Gemmiger,0.27766976225523743,1.525476905666536,0.8293127445745785,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Mediterraneibacter,0.23313881081994953,1.6578658900801002,0.8293127445745785,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Megamonas,-0.7096080971422205,-1.5746462167425164,0.8293127445745785,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Ruminococcus,0.31939060064933456,1.4538294769057472,0.8493065150752768,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Holdemanella,-0.3807389729485955,-1.2339120521855411,0.8544603335219974,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Anaerobutyricum,0.15106204059099634,0.8920108169313319,0.9081304480888508,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Anaerostipes,0.12200056646872429,0.8797355960647922,0.9081304480888508,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Eubacterium,0.19331228081799592,0.7646942778149354,0.9081304480888508,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Lactobacillus,0.3162592537001456,0.7199751733493555,0.9081304480888508,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Longibaculum,-0.3795753818360854,-0.8905891949401298,0.9081304480888508,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Parabacteroides,0.19192865188826216,0.836782654918461,0.9081304480888508,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Senegalimassilia,0.9230240387237216,0.7821458128513602,0.9081304480888508,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Sutterella,-0.30888988739382456,-1.0239598908751228,0.9081304480888508,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Collinsella,0.2643025733502493,0.6938464193869397,0.9136169260208182,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Catenibacterium,-0.1494826883598915,-0.5504944560863003,0.9401729251972124,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Dorea,0.1332143615954114,0.6062715435900888,0.9401729251972124,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Olsenella,0.7367284877901192,0.6235306382919086,0.9401729251972124,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Anaeromassilibacillus,0.18688456447327748,0.3760052665855519,0.9699503688399934,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Bacteroides,-0.04766360229535356,-0.2948584832783819,0.9851742891596348,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Parasutterella,0.1453175261528327,0.3252503357499935,0.9851742891596348,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Acidaminococcus,0.10023904625020968,0.2181473542192111,0.9952143566740592,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Intestinibacter,0.01381044729271375,0.03521408495491662,0.9952143566740592,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Negativibacillus,0.26378144025395484,0.24763664173745167,0.9952143566740592,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Paeniclostridium,-0.23284046531121377,-0.22192519443816425,0.9952143566740592,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Phocaeicola,-0.01870800201758968,-0.11430374976635188,0.9952143566740592,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Roseburia,-0.00399812752530503,-0.02626277838933242,0.9952143566740592,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Acidaminococcus,1.4210768778573484,10.410989997194758,2.496308191057273e-23,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Paeniclostridium,-10.18429964688107,-8.430696781898657,1.9414136802663497e-15,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Negativibacillus,-9.898873204306792,-8.098465907095754,2.0963969464172915e-14,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Holdemanella,-1.7484661698401252,-5.447649018337937,1.4418785540705803e-6,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Eubacterium,0.9197360475076504,5.405350766753349,1.4618060935696522e-6,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Coprococcus,0.5290533798309999,4.8888833927254405,1.9098796569023385e-5,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Peptostreptococcus,-6.6147660069062075,-4.408392699921406,1.6811267068481573e-4,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Duodenibacillus,-6.508828636234752,-4.295122454803654,2.466181716682334e-4,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Escherichia,1.0558147495116386,4.156950740747844,3.644515521054035e-4,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Slackia,1.8295707461023976,4.174360229161373,3.644515521054035e-4,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Bacteroides,0.7369036347510082,3.756589647894654,0.00176942166191535,TRUE,TRUE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Holdemania,-6.011860502175078,-3.623610601412809,0.00273571953448411,TRUE,TRUE
