phylum	superkingdom
Actinobacteria	Bacteria
Bacteroidetes	Bacteria
Firmicutes	Bacteria
Planctomycetes	Bacteria
Proteobacteria	Bacteria
Synergistetes	Bacteria
Tenericutes	Bacteria
Verrucomicrobia	Bacteria
	
