baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genus
16.60198137174068,21.042380753478668,3.9101400740723675,5.381490267575827,7.387169826125568e-8,3.25035472349525e-6,Coprococcus
542.9637196522118,3.8915722114190485,1.021189314996151,3.810823472466235,1.3850464817950338e-4,0.0030471022599490743,Prevotella
2216.0280249849634,0.34206792581962836,0.10218054853809845,3.347681439506922,8.14906246809444e-4,0.008963968714903884,Acidaminococcus
87.28203982762359,10.091644945910415,2.984074027512865,3.3818346505034578,7.20034708321541e-4,0.008963968714903884,Faecalicatena
860.9115455573586,8.3942447137238,2.6326408719612644,3.1885263208993093,0.0014299999060916181,0.01258399917360624,Dorea
55.39616435591311,9.435599474178364,3.12230069017992,3.022002174183501,0.002511087446019396,0.018414641270808902,Mediterraneibacter
39.282171187356276,8.939369885841058,3.316110373410698,2.6957395500218846,0.007023255760333674,0.04414617906495452,Faecalimonas
37.270677459015666,8.863421447773593,3.4153496688293017,2.595172473456212,0.0094543463098543,0.051998904704198656,Anaerobutyricum
168.30540119726524,2.3947883261098393,0.9529949426659706,2.5129076964569204,0.011974065964792,0.05853987805009423,Blautia
2169.7932341318997,-0.4576351328806192,0.18843634397531858,-2.428592718507425,0.015157548902810876,0.06669321517236786,Lactobacillus
19.11579943967553,7.900866060107125,3.516283925444063,2.246936319031559,0.02464409718559178,0.09857638874236711,Hespellia
12.174786339276501,7.247815650669605,3.9113697707261426,1.8530121352663762,0.06388061930940146,0.2339709163744825,Duncaniella
11.067987581160454,7.11008075333429,3.911831072046903,1.8175837919334978,0.0691277707470062,0.2339709163744825,Hungatella
194.12431446220262,-0.5500481039133474,0.3627276348882809,-1.5164218300675123,0.12941272256211273,0.4067256994809257,Collinsella
44.096166601539146,3.9839593849177324,3.006316515084686,1.3251962542625046,0.1851060674139347,0.5090416853883204,Anaerostipes
103.03614561572726,0.4904135488926086,0.3630642292249716,1.3507625081641557,0.17677152154963605,0.5090416853883204,Mitsuokella
1256.0186345076552,-0.49330593794499034,0.38518366915575614,-1.2807031487763125,0.20029795337098366,0.5184182322543107,Olsenella
121.07573215162209,0.3902224921381974,0.32753259225353715,1.1914004937747786,0.23349639918847503,0.5407285033838369,Faecalibacterium
531.8198983589197,-0.19909542338850503,0.1658381608123269,-1.2005404691735224,0.22992950535333517,0.5407285033838369,Megamonas
136.19363539550372,-0.6329721114519101,0.56040890100714,-1.1294826158441862,0.2586942989447245,0.5587858454373346,Enterococcus
143.37679233274358,-0.7497676106608614,0.675034604762375,-1.110709888606072,0.2666932444132733,0.5587858454373346,Sutterella
