"sample_id","total_counts","medium","treatment","stirred","time","replicate","condition"
"repBC80_Pl2",59493.7774857412,"GAM","WaterControl","Stirred","48","R2","GAM_WaterControl_Stirred_48"
"repBC81_Pl1",30445.9062422873,"Schaedler","CGA","Stirred","48","R3","Schaedler_CGA_Stirred_48"
"repBC81_Pl2",95581.6224279541,"GAM","WaterControl","Stirred","48","R3","GAM_WaterControl_Stirred_48"
"repBC82_Pl1",50011.9999999994,"Schaedler","DMSOControl","Stirred","48","R1","Schaedler_DMSOControl_Stirred_48"
"repBC82_Pl2",62285.6475999485,"GAM","FecesOnly","Stirred","48","R1","GAM_FecesOnly_Stirred_48"
"repBC83_Pl1",35620.6136703061,"Schaedler","DMSOControl","Stirred","48","R2","Schaedler_DMSOControl_Stirred_48"
"repBC83_Pl2",46318.5306076393,"GAM","FecesOnly","Stirred","48","R2","GAM_FecesOnly_Stirred_48"
"repBC84_Pl1",54968.4577055634,"Schaedler","DMSOControl","Stirred","48","R3","Schaedler_DMSOControl_Stirred_48"
"repBC84_Pl2",67811.5637283067,"GAM","FecesOnly","Stirred","48","R3","GAM_FecesOnly_Stirred_48"
"repBC85_Pl1",33152.6371401925,"Schaedler","WaterControl","Stirred","48","R1","Schaedler_WaterControl_Stirred_48"
"repBC85_Pl2",48667.1597695554,"mBHI","Quercetin","Static","0","R1","mBHI_Quercetin_Static_0"
"repBC86_Pl1",35662.426768109,"Schaedler","WaterControl","Stirred","48","R2","Schaedler_WaterControl_Stirred_48"
"repBC86_Pl2",37463.3409024529,"mBHI","Quercetin","Static","0","R2","mBHI_Quercetin_Static_0"
"repBC87_Pl1",32881.9053122465,"Schaedler","WaterControl","Stirred","48","R3","Schaedler_WaterControl_Stirred_48"
"repBC87_Pl2",52899.5514983571,"mBHI","Quercetin","Static","0","R3","mBHI_Quercetin_Static_0"
"repBC88_Pl1",23017.7689856605,"Schaedler","FecesOnly","Stirred","48","R1","Schaedler_FecesOnly_Stirred_48"
"repBC88_Pl2",29069.1963001039,"mBHI","CGA","Static","0","R1","mBHI_CGA_Static_0"
"repBC89_Pl1",36388.0000000001,"Schaedler","FecesOnly","Stirred","48","R2","Schaedler_FecesOnly_Stirred_48"
"repBC89_Pl2",53038.1312025817,"mBHI","CGA","Static","0","R2","mBHI_CGA_Static_0"
"repBC90_Pl1",35700.0000000001,"Schaedler","FecesOnly","Stirred","48","R3","Schaedler_FecesOnly_Stirred_48"
"repBC90_Pl2",81570.2664217802,"mBHI","CGA","Static","0","R3","mBHI_CGA_Static_0"
"repBC91_Pl1",34250.7258690589,"GAM","Quercetin","Static","0","R1","GAM_Quercetin_Static_0"
"repBC91_Pl2",42163.40124183,"mBHI","DMSOControl","Static","0","R1","mBHI_DMSOControl_Static_0"
"repBC92_Pl1",21818.8980350925,"GAM","Quercetin","Static","0","R2","GAM_Quercetin_Static_0"
"repBC92_Pl2",55680.1710907672,"mBHI","DMSOControl","Static","0","R2","mBHI_DMSOControl_Static_0"
"repBC93_Pl1",22723.5686495745,"GAM","Quercetin","Static","0","R3","GAM_Quercetin_Static_0"
"repBC93_Pl2",51155.8984163679,"mBHI","DMSOControl","Static","0","R3","mBHI_DMSOControl_Static_0"
"repBC94_Pl1",17253.711424028,"GAM","CGA","Static","0","R1","GAM_CGA_Static_0"
"repBC94_Pl2",35803.441304248,"mBHI","WaterControl","Static","0","R1","mBHI_WaterControl_Static_0"
"repBC95_Pl1",31394.5887983719,"GAM","CGA","Static","0","R2","GAM_CGA_Static_0"
"repBC95_Pl2",38118.8598688723,"mBHI","WaterControl","Static","0","R2","mBHI_WaterControl_Static_0"
"repBC96_Pl1",26198.2026967111,"GAM","CGA","Static","0","R3","GAM_CGA_Static_0"
"repBC96_Pl2",42559.8861700734,"mBHI","WaterControl","Static","0","R3","mBHI_WaterControl_Static_0"
