sample_id	treatment	condition	medium	time	stirred	replicate
repBC49_Pl1	CGA	case	Schaedler	24	Stirred	R1
repBC50_Pl1	CGA	case	Schaedler	24	Stirred	R2
repBC51_Pl1	CGA	case	Schaedler	24	Stirred	R3
repBC55_Pl1	WaterControl	ctrl	Schaedler	24	Stirred	R1
repBC56_Pl1	WaterControl	ctrl	Schaedler	24	Stirred	R2
repBC57_Pl1	WaterControl	ctrl	Schaedler	24	Stirred	R3
