baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genus
142.01832346772804,2.181646870005008,0.3570881785364267,6.109546608198504,9.991457469472743e-10,7.39367852740983e-8,Eubacterium
72.46069887547769,-1.8618505049036556,0.46156103565801876,-4.033812131150394,5.487919988757579e-5,0.002030530395840304,Negativibacillus
209.73856854477262,1.6285336499937995,0.4291076311266042,3.7951635717084597,1.4754614711651358e-4,0.002729603721655501,Acidaminococcus
1335.0086742671945,0.5444314808165021,0.14190936078695743,3.8364733502945882,1.2481373306256097e-4,0.002729603721655501,Coprococcus
44.63059036486374,-1.7599285358119583,0.5445872455607427,-3.2316741718763917,0.0012306729724489232,0.018213959992244063,Intestinibacter
2057.1326073585096,0.46351554592063016,0.1539368642270205,3.011075665651174,0.0026032397329676465,0.03210662337326764,Dorea
115.5206659735456,-1.8278951555005347,0.637918622487566,-2.865404913831565,0.004164763279183258,0.044027497522794445,Holdemanella
908.1724449260302,0.4941544826869179,0.17713778824260146,2.7896615825988635,0.005276316063606928,0.04880592358836409,Anaerostipes
3289.0230161587665,0.4011976934268817,0.15970134563191588,2.51217478374649,0.011998964367025813,0.08973652669244254,Blautia
157.88866377121386,-0.8428130237306544,0.3359909104192345,-2.508439953566094,0.012126557661140883,0.08973652669244254,Flintibacter
1237.8857474292613,0.4718372216288125,0.19258103283909728,2.4500710930501426,0.014282801120112862,0.09608429844439562,Mediterraneibacter
202.90267724867726,-0.9237162037295975,0.39232603017240886,-2.35446065947668,0.01854960709801182,0.09828656397474764,Duncaniella
5.67751526034192,5.243302549727049,2.185691848010801,2.3989212177823607,0.01644345208498332,0.09828656397474764,Massilistercora
114.81123077392346,0.9590894057660573,0.4075063379869874,2.3535570281036544,0.018594755346573878,0.09828656397474764,Roseburia
41.52295009559061,-2.858640012287327,1.231062563419625,-2.3220915794455195,0.02022800499770946,0.09979149132203334,Bifidobacterium
47.41385284862172,-1.2334892777231685,0.5433302181837361,-2.2702386807170805,0.023193105271998568,0.10726811188299337,Senegalimassilia
664.9611127023843,-0.5632141855111467,0.25646178737777914,-2.196093972789436,0.028085217908386403,0.12225330148356434,Collinsella
13.506142922453535,3.02734677693028,1.4892513218702932,2.032797777294132,0.042072957801715244,0.17296660429594043,Ruthenibacterium
56.03795651387883,-1.056446606863912,0.5332250315869659,-1.981239709845864,0.04756439795706806,0.1852508130959493,Anaerotignum
