repBC19_Pl3	repBC20_Pl3	repBC21_Pl3	repBC25_Pl3	repBC26_Pl3	repBC27_Pl3	genus
348.7507534343461	211.10011777811303	390.37446827783293	153.17715757357325	88.52059046569872	66.5083237390718	Acidaminococcus
32.08506931595984	35.050585593347066	22.189706617897873	34.22042881962806	60.35494804479458	42.80238656474918	Adlercreutzia
29.99256479535377	31.86416872122461	24.65522957544208	26.07270767209757	0	16.462456371057378	Agathobaculum
37.665081370909384	73.2875880588166	32.873639433922776	43.99769419666465	0	69.80081501328327	Alistipes
50.91761000141453	37.440398247438914	45.61217471456785	58.66359226221954	48.283958435835665	50.70436562285672	Allisonella
17.437537671717305	15.135480142581688	14.382217252341214	0	0	10.535972077476721	Aminipila
181.35039178585998	163.30386469627612	235.8683629383959	234.65436904887815	173.01751772841112	129.72415620393213	Anaerobutyricum
16.740036164848615	0	11.916694294797006	0	0	11.85296858716131	Anaeromassilibacillus
1051.1347708511191	947.1624152384014	1182.6291786353718	831.0675570481101	776.566998176357	660.4737496068219	Anaerostipes
46.035099453333686	30.270960285163376	33.695480419770846	96.1431095408598	56.33128484180828	73.75180454233704	Anaerotignum
18.135039178586	28.677751849102147	19.724183660353663	35.849973049134164	0	28.31542495821869	Anaerotruncus
177.86288425151653	274.0318510025316	186.96882428043577	265.615709409494	177.04118093139743	283.8127478370292	Bacteroides
170.8878691828296	173.6597195306741	206.2820874478654	136.88171527851225	120.70989608958917	100.75023299087114	Bariatricus
11.160024109899076	30.270960285163376	11.505773801872971	0	0	30.290919722745574	Barnesiella
11.857525616767768	10.355854834397997	7.807489365556659	0	136.8045489015344	82.31228185528688	Bifidobacterium
3924.1434776432625	3035.062070696644	4257.958147678847	2846.8137689471537	3162.599277547236	2507.5613544394596	Blautia
53.01011452202061	38.23700246546953	53.419664080124505	96.1431095408598	0	37.53440052601082	Butyricicoccus
48.12760397393976	393.5224837071239	54.241505065972575	193.9157633112257	329.94038264487705	354.93055935999706	Catenibacterium
37.665081370909384	40.62681511956137	53.00874358720047	48.886326885182946	0	32.924912742114756	Christensenella
10.462522603030383	26.2879391950103	15.204058238189283	22.813619213085378	0	0	Clostridium
21.62254671292946	23.10152232288784	23.422468096669977	21.18407498357928	0	23.047438919480328	Colidextribacter
635.4238727573786	590.2837255606859	387.4980248273647	646.929059113921	788.6379877853159	940.9940061696396	Collinsella
1542.1758316866785	1448.2264683796584	1754.630504785628	1046.1673953429151	1150.7676760540833	1068.0841693542027	Coprococcus
8.370018082424307	0	0	0	0	0	Cuneatibacter
0	0	0	0	0	13.828463351688196	Desulfovibrio
291.55562987111335	228.62541057478654	299.9719598345453	495.3814457698539	168.9938545254248	243.64435429164917	Dialister
2409.867706231332	2010.6290463092728	2723.170106607578	1655.616937178196	1903.1926950125223	1640.319152812157	Dorea
111.60024109899076	198.35445028962317	111.77037407533743	189.0271306227074	265.56177139709615	341.1020960083088	Duncaniella
0	7.966042180306152	0	0	0	16.462456371057378	Duodenibacillus
244.1255274040423	249.33712024358255	238.3338858959401	234.65436904887815	229.3488025702194	289.7392321306098	Dysosmobacter
256.68055452767874	314.658666122093	197.24183660353663	294.9475055406038	418.46097311057576	389.8309668666387	Eggerthella
0	0	6.16380739386052	0	0	0	Emergencia
48.12760397393976	55.76229526214306	59.58347147398503	42.36814996715856	40.23663202986305	42.143888309906885	Enterocloster
16.740036164848615	10.355854834397997	25.066150068366113	55.40450380320734	0	14.48696160653049	Enterococcus
16.740036164848615	24.69473075894907	18.902342674505594	22.813619213085378	0	28.97392321306098	Enterorhabdus
195.30042192323384	224.64238948463347	161.08083322622159	161.32487872110374	189.11217054035635	160.0150759266777	Escherichia
239.94051836283015	197.55784607159256	260.1126720209139	52.14541534419514	52.30762163882197	50.04586736801443	Eubacterium
541.2611693301052	603.8259972672063	692.4010305769984	650.1881475729332	663.9044284927404	602.5259031807	Faecalibacterium
1505.9057533295065	1264.2108940145863	1606.6991273329756	1756.648679407574	1396.211131436248	1030.5497688281919	Faecalicatena
613.1038245375805	509.82669953959373	662.8147550864679	490.4928130813356	523.0762163882197	379.95349304400423	Faecalimonas
0	0	0	22.813619213085378	0	0	Faecalitalea
35.57257685030331	37.440398247438914	36.98284436316312	133.62262681950006	0	52.02136213254131	Flavonifractor
129.03777877070806	97.98231881776567	109.71577161071725	166.21351140962201	249.46711858515093	194.91548343331934	Flintibacter
22.320048219798153	9.559250616367382	25.477070561290148	0	0	7.243480803265245	Fournierella
231.57050028040584	166.49028156839856	248.19597772611695	202.0634844587562	197.15949694632897	180.42852182678885	Fusicatenibacter
276.90809822687083	264.47260038616423	291.34262948314057	216.72938252431106	301.7747402239729	303.567695482298	Gemmiger
51.61511150828323	58.15210791623491	30.408116476378567	63.55222495073783	0	69.80081501328327	Gordonibacter
16.04253465797992	9.559250616367382	27.120752532986288	91.25447685234151	0	11.194470332319016	Hespellia
