baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genus
9.865003219220052,-5.903707227814598,1.6409138504851453,-3.597816683715074,3.208996573280572e-4,0.016847232009723004,Subdoligranulum
230.16253668453749,-0.8588394756264524,0.2280689600212471,-3.765700845684753,1.6608255330249436e-4,0.016847232009723004,Sutterella
9.465146552787784,-5.848110029979553,1.7111263770184257,-3.4176961494624774,6.315356882213654e-4,0.02033908842884321,Eggerthella
8.913127705290872,-5.756536966440589,1.7124213573942637,-3.3616358156149873,7.748224163368841e-4,0.02033908842884321,Raoultibacter
9.12321347604192,-5.7955022709158035,1.7912536930752259,-3.2354447018423618,0.0012145340842122084,0.025505215768456376,Senegalimassilia
7.606425314099582,-5.529315261125369,1.7414643373003516,-3.175095316449035,0.0014978729025342636,0.026212775794349615,Butyricimonas
24.124192107753103,2.0582885022317856,0.6602016225673704,3.1176665307600744,0.0018228892951562814,0.02734333942734422,Hydrogenoanaerobacterium
7.214988004270765,-5.453099806982988,1.775992649857103,-3.070451787861704,0.0021373519037155933,0.02805274373626716,Sporobacter
500.5404941905285,-1.3107249106594625,0.4324620899286678,-3.0308434916819165,0.0024387162175919315,0.0284516892052392,Collinsella
6.680204954713717,-5.341507266341237,1.8138429279339148,-2.9448565716908917,0.003231044047276954,0.033925962496408016,Megasphaera
6543.337548053213,-0.5390176822702816,0.1872479452562255,-2.8786306922231,0.003994057504581467,0.038125094361914004,Phocaeicola
6.074736961443193,-5.206403341375687,1.8957416405436363,-2.7463675587579863,0.006025921050121177,0.042640849319725796,Duodenibacillus
34.65698343253362,1.462408330222122,0.5276663644830312,2.771463994402756,0.005580484362461139,0.042640849319725796,Hespellia
5.8183075269320055,-5.143035717632808,1.8750957785495328,-2.7428122746941317,0.0060915499028179705,0.042640849319725796,Massilimicrobiota
6.179414924110593,-5.2308713578922665,1.899945061289463,-2.7531697965740944,0.005902127614571497,0.042640849319725796,Mitsuokella
